P24,2008,Ab Ghani Mamat,UMNO,16537 
P24,2008,Salahuddin Ayub,PAS,27179  
P24,2004,Datuk Ahmad Rusli Iberahim,UMNO,15803 
P24,2004,Salahuddin Ayub,PAS,21430  

P25,2008,Dr Awang Adek Hussin,UMNO,25934 
P25,2008,Nasharudin Mat Isa,PAS,28835  
P25,2004,Datuk Dr Awang Adek Hussin,UMNO,25194  
P25,2004,Wan Nik Wan Yusof,PAS,21922 

P26,2008,Datuk Seri Annuar Musa,UMNO,21338 
P26,2008,Abdul Aziz Kadir,PKR,21738  
P26,2004,Md Alwi Che Ahmad,UMNO,20024  
P26,2004,Muamad Mustafa,PKR,17136 

P27,2008,Datuk Shaari Hasan,UMNO,15970 
P27,2008,Amran Ab Ghani,PKR,17554  
P27,2008,Asmadi Abu Bakar,IND,1439
P27,2004,Shaari Hassan,UMNO,16107  
P27,2004,Saupi Daud,PKR,13580 

P28,2008,Amran Mat Nor,UMNO,24397 
P28,2008,Muhammad Husain,PAS,28365  
P28,2004,Che Min Che Ahmad,UMNO,23208 
P28,2004,Kalthom Othman,PAS,27018  

P29,2008,Sazmi Miah,UMNO,19581 
P29,2008,Saifuddin Nasution Ismail,PKR,21041  
P29,2004,Sazmi Miah,UMNO,17464  
P29,2004,Mohd Yusof Mohd Noor,PAS,17329 

P30,2008,Datuk Mustapa Mohamed,UMNO,17168  
P30,2008,Mohd Apandi Mohamad,PAS,12732 
P30,2004,Datuk Mustapa Mohamed,UMNO,16960  
P30,2004,Mohd Apandi Mohamed,PAS,9607 

P31,2008,Prof Datuk Dr Che Musa Che Omar,UMNO,18578 
P31,2008,Mohd Hatta Md Ramli,PAS,23562  
P31,2004,Mohammad Razali Che Mamat,UMNO,19148  
P31,2004,Abdul Rahim Wan Abdullah,PAS,16732 

P32,2008,Tan Sri Tengku Razaleigh Hamzah,UMNO,14063  
P32,2008,Zulkefli Muhamed,PAS,9669 
P32,2004,Tengku Razaleigh Hamzah,UMNO,13570  
P32,2004,Dr Zulkifli Ahmad,PAS,6972 

P33,2008,Datuk Dr Abdullah Mohd Zin,UMNO,29376  
P33,2008,Datuk Husain Awang,PAS,18786 
P33,2004,Prof Datuk Dr. Abdullah Mohd Zin,UMNO,26087  
P33,2004,Nasharudin Mat Isa,PAS,17587 

P34,2008,Mohd Jidin Shafee,UMNO,26610  
P34,2008,Mohd Pauzi Muda,PAS,19378 
P34,2004,Mohd Yusof Majid,UMNO,23079  
P34,2004,Che Ghani Che Ambak,PAS,16383 

P35,2008,Mohamed Nasir Ibrahim Fikri,UMNO,26439  
P35,2008,Mohd Shukrimun Shamsuddin,PAS,25098 
P35,2004,Che Azmi Abd Rahman,UMNO,24895  
P35,2004,Mohd Shukrimun Shamsudin,PAS,20798 

P36,2008,Datuk Razali Ismail,UMNO,32562  
P36,2008,Mohamad Sabu,PAS,31934 
P36,2008,Maimun Yusuf,IND,685
P36,2004,Razali Ismail,UMNO,30994  
P36,2004,Dr Syed Azam Syed Ahmad,PAS,29061 

P37,2008,Datuk Dr. Ahmad Ramzi Mohamad Zubir,UMNO,30688 
P37,2008,Datuk Seri Abdul Hadi Awang,PAS,33435  
P37,2004,Datuk Abdul Rahman Bakar,UMNO,28076  
P37,2004,Datuk Seri Abdul Hadi Awang,PAS,27913 

P38,2008,Mohd. Nor Othman,UMNO,27784  
P38,2008,Kamaruzaman Abdullah,PAS,17324 
P38,2004,Tengku Putera Tengku Awang,UMNO,23815  
P38,2004,Muhyidin Abd Rashid,PAS,16055 

P39,2008,Matulidi Jusoh,UMNO,29264  
P39,2008,Shamsul Iskandar @ Yusre Mohd Akin,PKR,24270 
P39,2004,Datuk Rosli Mat Hassan,UMNO,26398  
P39,2004,Datuk Mustafa Ali,PAS,21502 

P40,2008,Ahmad Shaberry Cheek,UMNO,37199  
P40,2008,Mohd Fariz Abd Talib @ Musa,PKR,24516 
P40,2004,Ahmad Shabery Chik,UMNO,36517  
P40,2004,Abdl Rahman Yusof,PKR,20635 

P41,2008,Datuk Seri Abdullah Ahmad Badawi,UMNO,23445  
P41,2008,Subri Arshad,PAS,12199 
P41,2004,Datuk Seri Abdullah Ahmad Badawi,UMNO,25403  
P41,2004,Abdul Rashid Rasid,PAS,7281 

P42,2008,Tan Sri Nor Mohamed Yakcop,UMNO,20448  
P42,2008,Ismail Salleh,PAS,15901 
P42,2004,Datuk Seri Mohd Shariff Omar,UMNO,22011  
P42,2004,Mujahid Yusof Rawa,PAS,11828 

P43,2008,Song Choy Leng,MCA,11678 
P43,2008,Lim Guan Eng,DAP,33748  
P43,2004,Lim Chien Aun,MCA,19473 
P43,2004,Lim Hock Seng,DAP,23095  

P44,2008,Datuk Pirdaus Ismail,UMNO,16950 
P44,2008,Wan Azizah Wan Ismail,PKR,30348  
P44,2004,Datuk Pirdaus Ismail,UMNO,21147 
P44,2004,Datin Seri Dr Wan Azizah Wan Ismail,PKR,21737  

P45,2008,Ong Tang Chuan,MCA,22050 
P45,2008,Chong Eng,DAP,37882  
P45,2004,Ma Kok Ben,MCA,17651 
P45,2004,Chong Eng,DAP,26215  

